,Pergunta:,Resposta:
0,Qual time paulista é conhecido como o 'Timão'?,O time paulista conhecido como 'Timão' é o **Corinthians**.
1,Em que ano a Ponte Preta foi fundada?,A Ponte Preta foi fundada em 1900.
2,Qual é o mascote do Juventude?,"O mascote do Juventude é o **Juve**, um **pássaro com um escudo do clube**."
3,Qual estádio é a casa do Juventus da Mooca?,O estádio que é a casa do Juventus da Mooca é o **Estádio Conde Rodolfo Lamberti**.
4,Quantos títulos da Libertadores o Cruzeiro já conquistou?,O Cruzeiro já conquistou 2 títulos da Libertadores.
5,Em que cidade fica a sede do Red Bull Bragantino?,A sede do Red Bull Bragantino fica em Bragança Paulista.
6,Qual é o maior rival do Corinthians?,O maior rival do Corinthians é o Palmeiras.
7,Qual o técnico que mais comandou o Pelé?,Vicente Feola foi o técnico que mais comandou Pelé.
8,Qual é a cor predominante no uniforme do Fluminense de feira?,A cor predominante no uniforme do Fluminense de Feira é o **vermelho**.
9,Qual o primeiro time paulista a vencer o Mundial de Clubes da FIFA?,O primeiro time paulista a vencer o Mundial de Clubes da FIFA foi o **São Paulo**.
